Artist_Name,Latitude,Longitude,City,Country,State,Region
Eric Paslay,36.1678,-86.7784,Nashville,United States,TN,South
Meek Mill,39.9523,-75.1624,Philadelphia,United States,PA,Northeast
A Thousand Horses,36.1678,-86.7784,Nashville,United States,TN,South
Silento,33.7483,-84.3911,Atlanta,United States,GA,South
Tori Kelly,33.59891,-117.28004,Wildomar,United States,CA,West
Kid Rock,42.3317,-83.0479,Detroit,United States,MI,Midwest
Andy Grammer,33.973951,-118.248405,Los Angeles,United States,CA,West
Miranda Lambert,32.506185,-95.400598,Lindale,United States,TX,South
Little Big Town,33.471773,-86.800823,Homewood,United States,AL,South
Ciara,33.7483,-84.3911,Atlanta,United States,GA,South
Fifth Harmony,25.729,-80.2374,Miami,United States,FL,South
Fetty Wap,40.078875,-82.688125,Paterson,United States,NJ,Northeast
Kelly Clarkson,32.492683,-97.264359,Burleson,United States,TX,South
Dierks Bentley,33.401395,-111.931298,Tempe,United States,AZ,West
Common,41.8842,-87.6324,Chicago,United States,IL,Midwest
Omarion,33.9618,-118.356,Inglewood,United States,CA,West
Chris Brown,37.916613,-76.947547,Tappahannock,United States,VA,South
B.o.B,33.772554,-84.291723,Decatur,United States,GA,South
Hoodie Allen,40.7646,-73.4549,Old Bethpage,United States,NY,Northeast
I Prevail,42.724318,-83.147306,Rochester Hills,United States,MI,Midwest
Sam Hunt,34.0145,-85.2566,Cedartown,United States,GA,South
Tyler Farr,36.1678,-86.7784,Nashville,United States,TN,South
Cole Swindell,31.824017,-84.343163,Bronwood,United States,GA,South
Jake Owen,27.638005,-80.40294,Vero Beach,United States,FL,South
Chase Bryant,36.1678,-86.7784,Nashville,United States,TN,South
G-Eazy,37.8051,-122.273,Oakland,United States,CA,West
Prince Royce,40.7146,-74.0071,New York,United States,NY,Northeast
Becky G,33.9618,-118.356,Inglewood,United States,CA,West
French Montana,40.7146,-74.0071,New York,United States,NY,Northeast
J. Cole,35.0545,-78.8776,Fayetteville,United States,NC,South
Matt McAndrew,39.86585,-74.263027,Barnegat Light,United States,NJ,Northeast
Chris Jamison,33.973951,-118.248405,Los Angeles,United States,CA,West
Craig Wayne Boyd,36.1678,-86.7784,Nashville,United States,TN,South
Randy Houser,32.3432,-89.32868,Lake,United States,MS,South
James Newton Howard,33.973951,-118.248405,Los Angeles,United States,CA,West
OneRepublic,38.8335,-104.822,Colorado Springs,United States,CO,West
Usher,33.7483,-84.3911,Atlanta,United States,GA,South
O.T. Genasis,33.7667,-118.192,Long Beach,United States,CA,West
Pentatonix,32.635563,-97.148829,Arlington,United States,TX,South
Missy Elliott,36.8326,-76.2977,Portsmouth,United States,VA,South
OK Go,41.8842,-87.6324,Chicago,United States,IL,Midwest
Gwen Stefani,33.8703,-117.929,Fullerton,United States,CA,West
Snootie Wild,35.169255,-89.990415,Memphis,United States,TN,South
Glen Campbell,34.0313889,-93.5027778,Delight,United States,AR,South
OG Maco,33.7483,-84.3911,Atlanta,United States,GA,South
Jimmy Fallon,42.0778,-73.9525,Saugerties,United States,NY,Northeast
Yo Gotti,35.169255,-89.990415,Memphis,United States,TN,South
Scotty McCreery,35.71126,-78.61417,Garner,United States,NC,South
Migos,33.929464,-84.103226,Lawrenceville,United States,GA,South
Jennifer Lopez,40.7146,-74.0071,New York,United States,NY,Northeast
Train,37.7796,-122.42,San Francisco,United States,CA,West
Lil Jon,33.7483,-84.3911,Atlanta,United States,GA,South
Big & Rich,36.1678,-86.7784,Nashville,United States,TN,South
Mary Lambert,47.6036,-122.329,Seattle,United States,WA,West
Jeezy,33.7483,-84.3911,Atlanta,United States,GA,South
Eminem,42.3317,-83.0479,Detroit,United States,MI,Midwest
TeeFlii,33.973951,-118.248405,Los Angeles,United States,CA,West
Steve Aoki,33.595088,-117.829038,Newport Beach,United States,CA,West
Tyga,33.8953,-118.224,Compton,United States,CA,West
The Swon Brothers,35.70582,-95.50025,Muskogee,United States,OK,South
Katy Perry,33.973951,-118.248405,Los Angeles,United States,CA,West
Hilary Duff,33.973951,-118.248405,Los Angeles,United States,CA,West
Weird Al Yankovic,33.924538,-118.202954,Lynwood,United States,CA,West
Eli Young Band,30.094886,-95.585826,Tomball,United States,TX,South
John Legend,39.925,-83.8067,Springfield,United States,OH,Midwest
Busta Rhymes,40.7146,-74.0071,New York,United States,NY,Northeast
Ca$h Out,32.472864,-84.97823,Columbus,United States,GA,South
Robin Thicke,33.973951,-118.248405,Los Angeles,United States,CA,West
Taylor John Williams,44.0499,-123.089,Eugene,United States,OR,West
Idina Menzel,40.7146,-74.0071,New York,United States,NY,Northeast
AWOLNATION,33.973951,-118.248405,Los Angeles,United States,CA,West
ScHoolboy Q,33.973951,-118.248405,Los Angeles,United States,CA,West
AJR,40.7146,-74.0071,New York,United States,NY,Northeast
Lana Del Rey,44.2821,-73.9827,Lake Placid,United States,NY,Northeast
Lil Wayne,29.9537,-90.0777,New Orleans,United States,LA,South
Pharrell,36.844004,-76.12036,Virginia Beach,United States,VA,South
George Strait,29.059014,-98.63756,Poteet,United States,TX,South
John Mayer,41.1819,-73.1913,Bridgeport,United States,CT,Northeast
Lady Antebellum,36.1678,-86.7784,Nashville,United States,TN,South
Christina Grimmie,39.8923,-74.9191,Marlton,United States,NJ,Northeast
Michael Jackson,41.603,-87.3372,Gary,United States,IN,Midwest
Dustin Lynch,35.36202,-86.20943,Tullahoma,United States,TN,South
The Band Perry,36.1678,-86.7784,Nashville,United States,TN,South
Jake Worthington,39.7669,-86.15,Indianapolis,United States,IN,Midwest
Tinashe,33.973951,-118.248405,Los Angeles,United States,CA,West
Sara Bareilles,40.8032,-124.16,Eureka,United States,CA,West
Josh Kaufman,39.7669,-86.15,Indianapolis,United States,IN,Midwest
Enrique Iglesias,25.729,-80.2374,Miami,United States,FL,South
Craig Campbell,32.129147,-82.330546,Lyons,United States,GA,South
Joe Nichols,36.320391,-93.978383,Rogers,United States,AR,South
Craig Morgan,36.102,-87.11501,Kingston Springs,United States,TN,South
K-Camp,33.7483,-84.3911,Atlanta,United States,GA,South
Ingrid Michaelson,40.7146,-74.0071,New York,United States,NY,Northeast
will.i.am,33.973951,-118.248405,Los Angeles,United States,CA,West
The Black Keys,41.0842,-81.5141,Akron,United States,OH,Midwest
Lady Gaga,40.7146,-74.0071,New York,United States,NY,Northeast
Ty Dolla Sign,33.973951,-118.248405,Los Angeles,United States,CA,West
YG,33.8953,-118.224,Compton,United States,CA,West
Sara Evans,38.884444,-92.733329,Boonville,United States,MO,Midwest
Kristen Bell,42.489,-83.1746,Huntington Woods,United States,MI,Midwest
Young Money,25.729,-80.2374,Miami,United States,FL,South
Phillip Phillips,31.5808,-84.156,Albany,United States,GA,South
Rick Ross,25.941,-80.2462,Carol City,United States,FL,South
Paramore,35.9243,-86.8709,Franklin,United States,TN,South
Justin Timberlake,35.169255,-89.990415,Memphis,United States,TN,South
Neon Trees,40.235053,-111.695558,Provo,United States,UT,West
Fitz & The Tantrums,33.973951,-118.248405,Los Angeles,United States,CA,West
The Chainsmokers,40.7146,-74.0071,New York,United States,NY,Northeast
Justin Moore,34.3023,-92.609528,Poyen,United States,AR,South
MKTO,33.973951,-118.248405,Los Angeles,United States,CA,West
Young Thug,33.7483,-84.3911,Atlanta,United States,GA,South
Buck 22,34.0735,-118.4,Beverly Hills,United States,CA,West
Christina Perri,39.9523,-75.1624,Philadelphia,United States,PA,Northeast
Jhene Aiko,33.973951,-118.248405,Los Angeles,United States,CA,West
Romeo Santos,40.7146,-74.0071,New York,United States,NY,Northeast
K. Michelle,35.169255,-89.990415,Memphis,United States,TN,South
Kacey Musgraves,32.777228,-95.407675,Golden,United States,TX,South
Austin Mahone,29.4245,-98.4946,San Antonio,United States,TX,South
Hunter Hayes,30.2733,-91.8996,Breaux Bridge,United States,LA,South
Rico Love,43.0418,-87.9068,Milwaukee,United States,WI,Midwest
Rascal Flatts,39.962,-83.003,Columbus,United States,OH,Midwest
Cash Cash,40.8217,-74.2914,Roseland,United States,NJ,Northeast
Thompson Square,36.1678,-86.7784,Nashville,United States,TN,South
SoMo,33.76672,-96.546662,Denison,United States,TX,South
Lucy Hale,35.169255,-89.990415,Memphis,United States,TN,South
Jerrod Niemann,37.043237,-100.873809,Liberal,United States,KS,Midwest
Dan & Shay,36.1678,-86.7784,Nashville,United States,TN,South
Bruno Mars,33.973951,-118.248405,Los Angeles,United States,CA,West
The Fray,39.74,-104.992,Denver,United States,CO,West
Demi Lovato,32.7781,-96.7954,Dallas,United States,TX,South
Childish Gambino,33.8038,-84.17,Stone Mountain,United States,GA,South
Aloe Blacc,33.595714,-117.715535,Laguna Hills,United States,CA,West
Lupe Fiasco,41.8842,-87.6324,Chicago,United States,IL,Midwest
T-Pain,30.4398,-84.2806,Tallahassee,United States,FL,South
American Authors,42.3586,-71.0567,Boston,United States,MA,Northeast
A Great Big World,40.7146,-74.0071,New York,United States,NY,Northeast
Jon Pardi,36.1678,-86.7784,Nashville,United States,TN,South
Chase Rice,35.602711,-82.567281,Asheville,United States,NC,South
Miley Cyrus,36.1678,-86.7784,Nashville,United States,TN,South
David Nail,36.23618,-90.05565,Kennett,United States,MO,Midwest
Sevyn Streeter,28.075834,-81.592933,Haines City,United States,FL,South
Mike Will Made It,33.7483,-84.3911,Atlanta,United States,GA,South
Daughtry,36.1063,-79.6599,Mcleansville,United States,NC,South
Macklemore & Ryan Lewis,47.6036,-122.329,Seattle,United States,WA,West
Maejor Ali,42.3317,-83.0479,Detroit,United States,MI,Midwest
Zendaya,37.8051,-122.273,Oakland,United States,CA,West
Sage The Gemini,38.244889,-122.135862,Fairfield,United States,CA,West
Danielle Bradbery,29.83399,-95.434241,Cypress,United States,TX,South
Jay-Z,40.7146,-74.0071,New York,United States,NY,Northeast
The Neighbourhood,34.032383,-119.1343,Newbury Park,United States,CA,West
Cassadee Pope,26.715844,-80.070249,West Palm Beach,United States,FL,South
Capital Cities,33.973951,-118.248405,Los Angeles,United States,CA,West
Brenda Lee,33.7483,-84.3911,Atlanta,United States,GA,South
Nat King Cole,34.0116,-118.492,Montgomery,United States,AL,South
Rocko,33.7483,-84.3911,Atlanta,United States,GA,South
Fabolous,40.7146,-74.0071,New York,United States,NY,Northeast
Ray J,33.813317,-118.261154,Carson,United States,CA,West
WE the Kings,27.4955,-82.5781,Bradenton,United States,FL,South
Jonas Brothers,33.973951,-118.248405,Los Angeles,United States,CA,West
Anna Kendrick,43.6591,-70.2567,Portland,United States,ME,Northeast
J. Dash,30.3314,-81.6558,Jacksonville,United States,FL,South
Kip Moore,36.1678,-86.7784,Nashville,United States,TN,South
DJ Drama,33.7483,-84.3911,Atlanta,United States,GA,South
Kelly Rowland,29.7605,-95.3698,Houston,United States,TX,South
Britt Nicole,35.462981,-80.672531,Kannapolis,United States,NC,South
Nelly,38.631501,-90.19231,St. Louis,United States,MO,Midwest
P!nk,40.3128,75.1289,Doylestown,United States,PA,Northeast
Krewella,41.8842,-87.6324,Chicago,United States,IL,Midwest
Ace Hood,26.311102,-80.09787,Deerfield Beach,United States,FL,South
Baauer,40.7146,-74.0071,New York,United States,NY,Northeast
Alabama Shakes,34.8029,-86.9722,Athens,United States,AL,South
Joe Budden,40.7174,-74.0432,Jersey City,United States,NJ,Northeast
Glee Cast,33.973951,-118.248405,Los Angeles,United States,CA,West
The Lonely Island,37.8699,-122.271,Berkeley,United States,CA,West
Chris Cagle,30.84631,-93.28905,Deridder,United States,LA,South
fun.,40.7146,-74.0071,New York,United States,NY,Northeast
The Barden Bellas,33.7483,-84.3911,Atlanta,United States,GA,South
Anne Hathaway,40.7146,-74.0071,New York,United States,NY,Northeast
Ke$ha,33.973951,-118.248405,Los Angeles,United States,CA,West
Casey James,32.7486,-97.3292,Fort Worth,United States,TX,South
Kid Cudi,40.7146,-74.0071,New York,United States,NY,Northeast
Trinidad James,33.7483,-84.3911,Atlanta,United States,GA,South
Jonn Hart,37.8051,-122.273,Oakland,United States,CA,West
Chief Keef,41.8842,-87.6324,Chicago,United States,IL,Midwest
Tamar Braxton,39.1328,-76.69253,Severn,United States,MD,South
The Lumineers,38.9979,-105.551,0,United States,CO,West
2 Chainz,33.653443,-84.449373,College Park,United States,GA,South
Jana Kramer,42.3317,-83.0479,Detroit,United States,MI,Midwest
Bridgit Mendler,37.7796,-122.42,San Francisco,United States,CA,West
Gary Allan,33.9071,-118.012,La Mirada,United States,CA,West
Game,33.8953,-118.224,Compton,United States,CA,West
Greg Bates,36.0330556,-86.7827778,Brentwood,United States,TN,South
Lifehouse,33.973951,-118.248405,Los Angeles,United States,CA,West
Alicia Keys,40.7146,-74.0071,New York,United States,NY,Northeast
Passion Pit,42.3668,-71.106,Cambridge,United States,MA,Northeast
Frank Ocean,33.973951,-118.248405,Los Angeles,United States,CA,West
R. Kelly,41.8842,-87.6324,Chicago,United States,IL,Midwest
Jacquie Lee,40.2881,-74.176,Colts Neck,United States,NJ,Northeast
Lea Michele,40.919298,-73.960481,Tenafly,United States,NJ,Northeast
Rebecca Black,33.6869,-117.825,Irvine,United States,CA,West
Will Champlin,33.973951,-118.248405,Los Angeles,United States,CA,West
Matthew Schuler,40.7146,-74.0071,New York,United States,NY,Northeast
James Wolpert,36.1678,-86.7784,Nashville,United States,TN,South
Travie McCoy,42.857414,-77.034883,Geneva,United States,NY,Northeast
Alison Gold,38.8461111,-77.3066667,Fairfax,United States,VA,South
Pearl Jam,47.6036,-122.329,Seattle,United States,WA,West
Gavin DeGraw,41.72175,-74.63498,South Fallsburg,United States,NY,Northeast
Linkin Park,34.1458,-118.778,Agoura Hills,United States,CA,West
Charlie Worsham,36.1678,-86.7784,Nashville,United States,TN,South
Green Shoe Studio,40.6667,-89.5333,East Peoria,United States,IL,Midwest
Bonnie McKee,33.973951,-118.248405,Los Angeles,United States,CA,West
Marc Anthony,40.7146,-74.0071,New York,United States,NY,Northeast
"Ross Lynch, Grace Phipps & Jason Evigan",37.1679,-95.845,0,United States,,International
Emblem3,33.6789,-118.002,Huntington Beach,United States,CA,West
Avenged Sevenfold,33.6789,-118.002,Huntington Beach,United States,CA,West
The FiNATTiCZ,33.973951,-118.248405,Los Angeles,United States,CA,West
Karmin,42.3586,-71.0567,Boston,United States,MA,Northeast
Sheryl Crow,36.23618,-90.05565,Kennett,United States,MO,Midwest
Fantasia,35.9555556,-80.0055556,High Point,United States,NC,South
Michelle Chamuel,42.300596,-71.27875,Wellesley,United States,MA,Northeast
Amber Carrington,32.9311111,-96.4594444,Rockwall,United States,TX,South
Jack Johnson,19.41271,-154.96301,Oahu,United States,HI,International
Danielle Bradberry,29.83399,-95.434241,Cypress,United States,TX,South
A$AP Ferg,40.7146,-74.0071,New York,United States,NY,Northeast
Zach Sobiech,44.847155,-93.153453,Saint Paul,United States,MN,Midwest
Candice Glover,33.92198,-80.360323,St. Helena Island,United States,SC,South
Gloriana,36.1678,-86.7784,Nashville,United States,TN,South
Arianna,37.2719,-119.27,0,United States,CA,West
Hustle Gang,33.7483,-84.3911,Atlanta,United States,GA,South
Bon Jovi,40.430006,-74.417344,Sayreville,United States,NJ,Northeast
Nicholas David,44.847155,-93.153453,Eagan,United States,MN,Midwest
50 Cent,40.7146,-74.0071,New York,United States,NY,Northeast
Melanie Martinez,31.1689,-100.077,0,United States,TX,South
Amanda Brown,40.7146,-74.0071,New York,United States,NY,Northeast
Grace Potter & The Nocturnals,44.1903,-72.8242,Waitsfield,United States,VT,Northeast
Christina Aguilera,40.7146,-74.0071,New York,United States,NY,Northeast
LMFAO,33.973951,-118.248405,Los Angeles,United States,CA,West
Martina McBride,36.1678,-86.7784,Nashville,United States,TN,South
Cobra Starship,40.7146,-74.0071,New York,United States,NY,Northeast
Gym Class Heroes,42.857414,-77.034883,Geneva,United States,NY,Northeast
Mac Miller,40.4383,-79.9975,Pittsburgh,United States,PA,Northeast
Foster The People,33.973951,-118.248405,Los Angeles,United States,CA,West
Slaughterhouse,42.3317,-83.0479,Detroit,United States,MI,Midwest
Brandy,31.2436111,-90.4530556,McComb,United States,MS,South
Green Day,37.8699,-122.271,Berkeley,United States,CA,West
Keyshia Cole,33.973951,-118.248405,Los Angeles,United States,CA,West
No Doubt,33.8328,-117.916,Anaheim,United States,CA,West
The Killers,36.1719,-115.14,Las Vegas,United States,NV,West
Dave Matthews Band,38.0321,-78.4775,Charlottesville,United States,VA,South
Owl City,44.0934,-93.2294,Owatonna,United States,MN,Midwest
Big Time Rush,33.973951,-118.248405,Los Angeles,United States,CA,West
Matchbox Twenty,28.545179,-81.373291,Orlando,United States,FL,South
Driicky Graham,36.312,-78.5882,Oxford,United States,NC,South
Waka Flocka Flame,33.7483,-84.3911,Atlanta,United States,GA,South
Love & Theft,36.1678,-86.7784,Nashville,United States,TN,South
Jermaine Paul,40.7146,-74.0071,New York,United States,NY,Northeast
Adam Levine,33.973951,-118.248405,Los Angeles,United States,CA,West
Tony Lucca,42.644824,-83.406111,Waterford,United States,MI,Midwest
Juliet Simms,37.7796,-122.42,San Francisco,United States,CA,West
Toby Keith,36.1678,-86.7784,Nashville,United States,TN,South
Jennifer Hudson,41.8842,-87.6324,Chicago,United States,IL,Midwest
Fat Joe,40.7146,-74.0071,New York,United States,NY,Northeast
Josh Turner,33.6265,-80.9474,0,United States,SC,South
Dev,33.973951,-118.248405,Los Angeles,United States,CA,West
Shinedown,30.3314,-81.6558,Jacksonville,United States,FL,South
Bella Thorne,26.0081,-80.2809,Pembroke Pines,United States,FL,South
LoveRance,37.7796,-122.42,San Francisco,United States,CA,West
Travis Porter,33.772554,-84.291723,Decatur,United States,GA,South
Far*East Movement,33.973951,-118.248405,Los Angeles,United States,CA,West
Young The Giant,33.6869,-117.825,Irvine,United States,CA,West
Kirko Bangz,29.7605,-95.3698,Houston,United States,TX,South
Whitney Houston,40.732,-74.1742,Newark,United States,NJ,Northeast
Lindsey Pavao,38.5791,-121.491,Sacramento,United States,CA,West
Madonna,43.608773,-83.953007,Bay City,United States,MI,Midwest
Diggy,40.7146,-74.0071,New York,United States,NY,Northeast
Mary J. Blige,40.9325,-73.8989,Yonkers,United States,NY,Northeast
MGK,29.7605,-95.3698,Houston,United States,TX,South
Van Halen,34.1472,-118.144,Pasadena,United States,CA,West
Jason Mraz,37.628179,-77.281955,Mechanicsville,United States,VA,South
Montgomery Gentry,37.567134,-86.085259,Summit,United States,KY,South
3OH!3,40.0157,-105.279,Boulder,United States,CO,West
V.I.C.,33.7483,-84.3911,Atlanta,United States,GA,South
Adam Lambert,32.7157,-117.162,San Diego,United States,CA,West
Edens Edge,35.279127,-93.140877,Russellville,United States,AR,South
Grouplove,33.973951,-118.248405,Los Angeles,United States,CA,West
Outasight,40.9325,-73.8989,Yonkers,United States,NY,Northeast
Breathe Carolina,39.74,-104.992,Denver,United States,CO,West
Roscoe Dash,33.7483,-84.3911,Atlanta,United States,GA,South
Hot Chelle Rae,36.1678,-86.7784,Nashville,United States,TN,South
Ronnie Dunn,36.154,-95.9928,Tulsa,United States,OK,South
New Boyz,34.839964,-115.967051,Hesperia,United States,CA,West
Steve Holy,32.7781,-96.7954,Dallas,United States,TX,South
Pistol Annies,36.1678,-86.7784,Nashville,United States,TN,South
Nicole Scherzinger,33.973951,-118.248405,Los Angeles,United States,CA,West
Mindless Behavior,33.973951,-118.248405,Los Angeles,United States,CA,West
Evanescence,34.7486,-92.2745,Little Rock,United States,AR,South
Mat Kearney,44.0499,-123.089,Eugene,United States,OR,West
Five Finger Death Punch,33.973951,-118.248405,Los Angeles,United States,CA,West
Matt Nathanson,42.4463,-71.2237,Lexington,United States,MA,Northeast
Kreayshawn,37.8051,-122.273,Oakland,United States,CA,West
The Black Eyed Peas,33.973951,-118.248405,Los Angeles,United States,CA,West
Red Hot Chili Peppers,33.973951,-118.248405,Los Angeles,United States,CA,West
Blink-182,32.994097,-117.030299,Poway,United States,CA,West
Foo Fighters,47.6036,-122.329,Seattle,United States,WA,West
Javier Colon,41.1979,-73.1319,Stratford,United States,CT,Northeast
Vicci Martinez,47.253671,-122.444335,Tacoma,United States,WA,West
Dia Frampton,37.1091,-113.583,St. George,United States,UT,West
Jill Scott,39.9523,-75.1624,Philadelphia,United States,PA,Northeast
Bad Meets Evil,42.3317,-83.0479,Detroit,United States,MI,Midwest
Joe Jonas,32.8795,-111.75,Casa Grande,United States,AZ,West
Rodney Atkins,36.556666,-83.690318,Cumberland Gap,United States,TN,South
Trace Adkins,33.0066,-93.4672,Springhill,United States,LA,South
Victorious Cast,33.973951,-118.248405,Los Angeles,United States,CA,West
Rej3ctz,33.8953,-118.224,Compton,United States,CA,West
Lauren Alaina,34.98313,-85.28607,Rossville,United States,GA,South
Reeve Carney,40.7146,-74.0071,New York,United States,NY,Northeast
Ashton Shepherd,31.816246,-88.061865,Coffeeville,United States,AL,South
Steven Tyler,42.3586,-71.0567,Boston,United States,MA,Northeast
Jordin Sparks,33.4483,-112.076,Phoenix,United States,AZ,West
Thirty Seconds To Mars,33.973951,-118.248405,Los Angeles,United States,CA,West
Duck Sauce,40.7146,-74.0071,New York,United States,NY,Northeast
Faith Hill,32.436064,-90.13731,Ridgeland,United States,MS,South
Kaskade,41.8842,-87.6324,Chicago,United States,IL,Midwest
Bow Wow,39.962,-83.003,Columbus,United States,OH,Midwest
Lloyd,29.9537,-90.0777,New Orleans,United States,LA,South
China Anne McClain,33.7483,-84.3911,Atlanta,United States,GA,South
Birdman,29.9537,-90.0777,New Orleans,United States,LA,South
Tony Bennett,40.7146,-74.0071,New York,United States,NY,Northeast
JoJo,42.3586,-71.0567,Boston,United States,MA,Northeast
YC,39.962,-83.003,Columbus,United States,OH,Midwest
Sara Ramirez,40.7146,-74.0071,New York,United States,NY,Northeast
Josh Kelley,33.551132,-82.143617,Evans,United States,GA,South
Miranda Cosgrove,33.973951,-118.248405,Los Angeles,United States,CA,West
Snoop Dogg,33.7667,-118.192,Long Beach,United States,CA,West
